time,q0,q1,q2,dq0,dq1,dq2,tau0,tau1,tau2
1722873643.75654,0.141161203,0.79101485,-1.002279162,0.10231383,-0.194551295,-0.008088049,1.449663305,0.440341419,0.227592182
1722873643.75852,0.14128232,0.7906515,-1.002279162,0.083711316,-0.19377619,-0.014962892,1.479349232,0.410655481,0.237075198
1722873643.76052,0.141463995,0.790318429,-1.002263308,0.08293621,-0.212378705,-0.014154087,1.449663305,0.415603137,0.208626175
1722873643.76259,0.141554832,0.789955139,-1.002263308,0.079060687,-0.223230171,-0.00485283,1.449663329,0.460132056,0.218109179
1722873643.76466,0.141675889,0.789682627,-1.002279162,0.06820922,-0.191450876,-0.013749684,1.474401617,0.484870338,0.237075198
1722873643.76649,0.141948402,0.789258718,-1.002263308,0.058132858,-0.189125562,-0.013345282,1.499139905,0.479922676,0.208626175
1722873643.76855,0.142099798,0.788865149,-1.002279162,0.06355859,-0.208503181,-0.017793709,1.504087567,0.450236732,0.199143171
1722873643.77057,0.142190635,0.78810817,-1.002263308,0.064333695,-0.213928914,-0.011323269,1.50903523,0.445289075,0.208626175
1722873643.77254,0.142342031,0.78774488,-1.002279162,0.082936212,-0.200752133,-0.014558489,1.459558654,0.47992267,0.275007224
1722873643.77456,0.142432868,0.78738153,-1.002247572,0.093787679,-0.198426819,0.002426415,1.528825831,0.474975014,0.227592182
1722873643.77658,0.142584264,0.786927342,-1.002247572,0.104639144,-0.232531428,0.018198112,1.53377347,0.465079701,0.170694137
1722873643.77859,0.142765939,0.786594331,-1.002263308,0.086036628,-0.224005276,0.020220124,1.543668771,0.479922682,0.199143159
1722873643.78072,0.142947555,0.786261261,-1.002263308,0.087586838,-0.229431009,0.009705659,1.538721108,0.450236744,0.256041205
1722873643.78259,0.143038392,0.785443783,-1.002279162,0.0976632,-0.217029333,-0.008896855,1.568407059,0.479922664,0.227592182
1722873643.78476,0.14309895,0.785110712,-1.002279162,0.0976632,-0.186025143,-0.019006917,1.588197708,0.470027345,0.170694137
1722873643.78664,0.143250346,0.78480792,-1.002279162,0.094562781,-0.176723886,-0.021837735,1.553564119,0.4304461,0.142245114
1722873643.78854,0.143341184,0.784414351,-1.002279162,0.099988514,-0.207728076,-0.02426415,1.558511782,0.400760168,0.142245114
1722873643.79051,0.143401742,0.784051001,-1.002279162,0.071309638,-0.206177866,-0.028308174,1.58325007,0.420550793,0.142245114
1722873643.79251,0.143522859,0.783657372,-1.002295017,0.044956076,-0.223230171,-0.035991821,1.598093033,0.410655481,0.142245114
1722873643.79452,0.143795371,0.783263803,-1.002279162,0.059683067,-0.222455066,-0.030330186,1.578302383,0.405707824,0.142245114
